Date,XAUUSD,DXY,XAGUSD,Gold_Silver_Ratio,GLD,GDX,VIX,GVZ_GoldVol,DGS1,DGS2,DGS5,DGS10,DGS30,DFII5_Real5Y,DFII10_Real10Y,T10YIE_BE10Y,T5YIE_BE5Y,T10Y2Y,T10Y3M,DFF_EffFF,FF_Upper,SOFR,USD_Broad_TW,USD_AFE_TW,EURUSD,USDCNY,USDJPY,SP500,WTI_FRED,XAU_Miners,EPU_US,HY_OAS,RRP
2022-08-01,1769,105.45,20.322,87.049,165.03,26.21,22.84,17.52,2.98,2.9,2.66,2.6,2.92,-0.06,0.09,2.51,2.72,-0.3,0.04,2.33,2.5,2.28,121.41,115.7,1.027,6.7674,131.8,4118.6,96.59,107.98,141.32,,2161.9
2022-08-02,1771.1,106.24,20.105,88.093,164.05,25.88,23.93,17.34,3.09,3.06,2.85,2.75,3,0.16,0.27,2.48,2.69,-0.31,0.19,2.33,2.5,2.3,121.95,116.32,1.0194,6.7499,132.32,4091.2,97.14,106.48,96.66,,2156
2022-08-03,1758,106.51,19.865,88.497,164.45,25.54,21.95,16.76,3.14,3.1,2.86,2.73,2.96,0.14,0.23,2.5,2.72,-0.37,0.21,2.33,2.5,2.29,122.39,116.92,1.0146,6.7565,134.18,4155.2,93.25,104.56,115.69,,2182.2
2022-08-04,1788.5,105.69,20.099,88.984,167.17,26.43,21.44,16.95,3.11,3.03,2.76,2.68,2.97,0.12,0.22,2.46,2.64,-0.35,0.18,2.33,2.5,2.29,121.83,116.36,1.0221,6.7485,133.28,4151.9,91.29,108.18,78.43,,2191.6
2022-08-05,1772.9,106.62,19.819,89.455,165.29,26.28,21.15,16.37,3.29,3.24,2.97,2.83,3.06,0.33,0.37,2.46,2.64,-0.41,0.25,2.33,2.5,2.28,122.32,117.19,1.017,6.7607,135.33,4145.2,91.77,108,107.43,,2194.9
2022-08-08,1786.8,106.44,20.592,86.772,166.69,27,21.29,16.76,3.3,3.21,2.91,2.77,3,0.26,0.29,2.48,2.65,-0.44,0.12,2.33,2.5,2.28,121.88,116.58,1.0207,6.7505,134.73,4140.1,93.52,110.67,227.88,,2195.7
2022-08-09,1794,106.37,20.458,87.692,167.2,26.94,21.77,16.69,3.33,3.28,2.97,2.8,3.01,0.31,0.33,2.47,2.66,-0.48,0.13,2.33,2.5,2.29,121.86,116.58,1.0226,6.7525,134.95,4122.5,93.18,110.46,189.05,,2186.6
2022-08-10,1795.6,105.2,20.718,86.669,166.78,27.13,19.74,16.27,3.26,3.23,2.93,2.78,3.04,0.32,0.35,2.43,2.61,-0.45,0.13,2.33,2.5,2.28,120.75,115.26,1.0337,6.723,132.58,4210.2,94.68,111.8,84.3,,2177.7
2022-08-11,1789.7,105.09,20.326,88.05,166.34,26.62,20.2,15.81,3.25,3.23,2.98,2.87,3.15,0.31,0.4,2.47,2.67,-0.36,0.25,2.33,2.5,2.28,120.72,115.18,1.0338,6.7445,132.66,4207.3,97.02,109.43,99.36,,2199.2
2022-08-12,1798.6,105.63,20.677,86.986,167.87,27.22,19.53,15.22,3.26,3.25,2.97,2.84,3.12,0.3,0.37,2.47,2.67,-0.41,0.21,2.33,2.5,2.28,121.02,115.89,1.0257,6.7425,133.57,4280.1,94.86,111.62,48.55,,2213.2
2022-08-15,1781.4,106.55,20.251,87.966,165.71,26.63,19.95,15.37,3.23,3.2,2.91,2.79,3.1,0.29,0.35,2.44,2.62,-0.41,0.07,2.33,2.5,2.29,121.43,116.55,1.0186,6.7715,133.13,4297.1,92.24,109.54,145.63,,2175.9
2022-08-16,1773.2,106.5,20.065,88.373,165.42,26.73,19.69,15.27,3.26,3.25,2.95,2.82,3.11,0.34,0.38,2.44,2.61,-0.43,0.12,2.33,2.5,2.29,121.68,116.75,1.0174,6.7875,134.38,4305.2,89.23,110.1,103.94,,2165.3
2022-08-17,1760.3,106.57,19.711,89.305,164.35,25.78,19.9,15.32,3.27,3.28,3.04,2.89,3.15,0.39,0.43,2.46,2.65,-0.39,0.21,2.33,2.5,2.29,122.07,117.17,1.0164,6.7805,135.4,4274,90.85,106,75.77,,2199.6
2022-08-18,1755.3,107.48,19.448,90.256,163.92,25.81,19.56,15.36,3.24,3.22,3.02,2.88,3.14,0.32,0.36,2.52,2.7,-0.34,0.17,2.33,2.5,2.28,122.36,117.5,1.0114,6.7855,135.29,4283.7,93.2,106.73,92.67,,2218.2
2022-08-19,1747.6,108.17,19.058,91.699,162.72,25.25,20.6,15.91,3.26,3.25,3.11,2.98,3.22,0.39,0.43,2.55,2.72,-0.27,0.24,2.33,2.5,2.28,123.05,118.38,1.0039,6.8164,137.01,4228.5,93.55,104.07,98.49,,2221.7
2022-08-22,1734,109.05,18.873,91.877,161.64,25.27,23.8,16.57,3.32,3.32,3.17,3.03,3.24,0.43,0.46,2.57,2.74,-0.29,0.21,2.33,2.5,2.28,123.61,119.17,0.9936,6.8476,137.57,4138,93.42,103.92,169.02,,2235.7
2022-08-23,1746.8,108.62,19.012,91.879,162.77,25.7,24.11,15.8,3.29,3.29,3.18,3.05,3.26,0.41,0.47,2.58,2.77,-0.24,0.25,2.33,2.5,2.27,123.06,118.47,0.9976,6.8476,136.36,4128.7,96.46,106.22,93.31,,2250.7
2022-08-24,1747.8,108.68,18.895,92.501,163.25,25.91,22.82,15.9,3.35,3.36,3.2,3.11,3.32,0.41,0.49,2.62,2.79,-0.25,0.29,2.33,2.5,2.27,123.11,118.71,0.9967,6.8581,136.92,4140.8,95.52,107.77,137.29,,2237.1
2022-08-25,1757.7,108.47,19.111,91.973,163.75,26.13,21.78,15.57,3.33,3.35,3.15,3.03,3.25,0.38,0.43,2.6,2.77,-0.32,0.15,2.33,2.5,2.28,123.06,118.64,0.9959,6.8477,136.83,4199.1,93.33,108.77,66.37,,2187.9
2022-08-26,1736.1,108.8,18.74,92.641,161.76,24.9,25.56,15.42,3.36,3.37,3.2,3.04,3.21,0.47,0.47,2.57,2.73,-0.33,0.15,2.33,2.5,2.28,123.07,118.66,0.9998,6.8715,137.07,4057.7,93.63,103.84,121.88,,2182.4
2022-08-29,1736.6,108.84,18.555,93.592,161.86,24.61,26.21,16.02,3.43,3.42,3.27,3.12,3.25,0.56,0.54,2.58,2.71,-0.3,0.15,2.33,2.5,2.28,123.47,118.91,1,6.9067,138.74,4030.6,97.4,102.51,97.52,,2205.2
2022-08-30,1723.2,108.77,18.159,94.895,160.51,24.08,26.21,16.52,3.48,3.46,3.27,3.11,3.23,0.6,0.56,2.55,2.67,-0.35,0.14,2.33,2.5,2.29,123.69,119.18,1.0018,6.91,138.73,3986.2,92.08,99.61,83.23,,2189
2022-08-31,1712.8,108.7,17.762,96.431,159.27,23.8,25.87,17.02,3.5,3.45,3.3,3.15,3.27,0.72,0.67,2.48,2.58,-0.3,0.19,2.33,2.5,2.29,123.53,118.95,1.0065,6.889,138.69,3955,90.09,98.05,126.46,,2251
2022-09-01,1696.6,109.69,17.551,96.667,157.87,23.06,25.56,17.8,3.51,3.51,3.39,3.26,3.37,0.87,0.81,2.45,2.52,-0.25,0.29,2.33,2.5,2.29,124.4,120.05,0.995,6.9066,139.93,3966.8,87.09,94.71,75.93,,2173.2
2022-09-02,1709.8,109.53,17.776,96.186,159.26,23.79,25.47,16.88,3.47,3.4,3.3,3.2,3.35,0.75,0.73,2.47,2.55,-0.2,0.26,2.33,2.5,2.29,123.77,119.37,1.003,6.8985,140.03,3924.3,87.29,98.07,65.23,,2173.4
2022-09-05,,,,,,,25.99,,,,,,,,,,,,,2.33,2.5,,,,,,,,,,158.69,,
2022-09-06,1700.4,110.21,17.795,95.555,158.33,23.44,26.91,17.68,3.61,3.5,3.43,3.33,3.49,0.87,0.85,2.48,2.56,-0.17,0.29,2.33,2.5,2.29,124.77,120.42,0.9914,6.9532,142.95,3908.2,87.35,97.08,91.55,,2188.8
2022-09-07,1715.3,109.84,18.137,94.575,159.94,24.32,24.64,16.77,3.6,3.45,3.37,3.27,3.42,0.86,0.82,2.45,2.51,-0.18,0.2,2.33,2.5,2.28,124.84,120.58,0.9942,6.965,144.39,3979.9,82.5,100.68,87.66,,2207
2022-09-08,1708,109.71,18.33,93.181,158.98,24.36,23.61,16.4,3.6,3.48,3.39,3.29,3.45,0.93,0.88,2.41,2.46,-0.19,0.23,2.33,2.5,2.28,124.58,120.27,0.9956,6.9562,144.05,4006.2,84.04,102.07,47.62,,2210.5
2022-09-09,1716.2,109,18.658,91.982,159.82,25.1,22.79,15.91,3.67,3.56,3.45,3.33,3.47,0.94,0.91,2.42,2.51,-0.23,0.25,2.33,2.5,2.28,123.79,119.19,1.0046,6.924,142.44,4067.4,87.27,105,66.03,,2209.7
2022-09-12,1728.1,108.33,19.755,87.477,160.63,25.45,23.87,15.79,3.7,3.58,3.47,3.37,3.53,0.95,0.95,2.42,2.52,-0.21,0.2,2.33,2.5,2.28,123.33,118.45,1.0129,6.9265,142.41,4110.4,88.18,106.58,162.37,,2218.6
2022-09-13,1705,109.82,19.39,87.932,158.54,24.42,27.27,16.93,3.92,3.75,3.58,3.42,3.51,1.02,0.98,2.44,2.56,-0.33,0.14,2.33,2.5,2.28,124.42,119.95,0.9997,6.9245,144.3,3932.7,87.84,102.38,95.35,,2202.7
2022-09-14,1696.5,109.66,19.471,87.13,157.93,24.47,26.16,17.17,3.95,3.78,3.6,3.41,3.47,0.98,0.95,2.46,2.62,-0.37,0.17,2.33,2.5,2.27,124.45,119.9,0.9993,6.9612,142.93,3946,88.88,102.26,116.73,,2225.6
2022-09-15,1665.4,109.74,19.175,86.853,154.98,23.74,26.27,19.66,4,3.87,3.66,3.45,3.48,1.09,1.02,2.43,2.57,-0.42,0.23,2.33,2.5,2.28,124.88,120.21,0.9991,6.9934,143.57,3901.3,85.72,99.18,118.58,,2176.2
2022-09-16,1671.7,109.76,19.296,86.635,155.84,24,26.3,18.31,3.96,3.85,3.62,3.45,3.52,1.13,1.07,2.38,2.49,-0.4,0.25,2.33,2.5,2.27,124.88,120.32,1.0013,6.9799,143.04,3873.3,85.57,99.76,123.3,,2186.8
