Serie,Quelle / ID,Frequenz,Einheit,Beschreibung,Link
XAUUSD,Yahoo GC=F,Daily,USD/oz,COMEX Gold-Future Front Month (Proxy Spot XAUUSD),https://finance.yahoo.com
DXY,Yahoo DX-Y.NYB,Daily,Index,US Dollar Index (ICE),https://finance.yahoo.com
XAGUSD,Yahoo SI=F,Daily,USD/oz,COMEX Silber-Future,https://finance.yahoo.com
GLD,Yahoo GLD,Daily,USD,SPDR Gold Shares ETF Kurs,https://finance.yahoo.com
GDX,Yahoo GDX,Daily,USD,VanEck Gold Miners ETF,https://finance.yahoo.com
VIX,FRED VIXCLS,Daily,Index,CBOE Volatility Index,https://fred.stlouisfed.org/series/VIXCLS
GVZ_GoldVol,FRED GVZCLS,Daily,Index,CBOE Gold ETF Volatility Index,https://fred.stlouisfed.org/series/GVZCLS
DGS1,FRED DGS1,Daily,%,US Treasury 1Y Constant Maturity,https://fred.stlouisfed.org/series/DGS1
DGS2,FRED DGS2,Daily,%,US Treasury 2Y,https://fred.stlouisfed.org/series/DGS2
DGS5,FRED DGS5,Daily,%,US Treasury 5Y,https://fred.stlouisfed.org/series/DGS5
DGS10,FRED DGS10,Daily,%,US Treasury 10Y,https://fred.stlouisfed.org/series/DGS10
DGS30,FRED DGS30,Daily,%,US Treasury 30Y,https://fred.stlouisfed.org/series/DGS30
DFII5_Real5Y,FRED DFII5,Daily,%,5Y TIPS Realzins,https://fred.stlouisfed.org/series/DFII5
DFII10_Real10Y,FRED DFII10,Daily,%,10Y TIPS Realzins,https://fred.stlouisfed.org/series/DFII10
T10YIE_BE10Y,FRED T10YIE,Daily,%,10Y Inflations-Breakeven,https://fred.stlouisfed.org/series/T10YIE
T5YIE_BE5Y,FRED T5YIE,Daily,%,5Y Inflations-Breakeven,https://fred.stlouisfed.org/series/T5YIE
T10Y2Y,FRED T10Y2Y,Daily,pp,Yield Curve 10Y-2Y,https://fred.stlouisfed.org/series/T10Y2Y
T10Y3M,FRED T10Y3M,Daily,pp,Yield Curve 10Y-3M,https://fred.stlouisfed.org/series/T10Y3M
DFF_EffFF,FRED DFF,Daily,%,Effective Federal Funds Rate,https://fred.stlouisfed.org/series/DFF
FF_Upper,FRED DFEDTARU,Daily,%,Fed Funds Target Upper Bound,https://fred.stlouisfed.org/series/DFEDTARU
SOFR,FRED SOFR,Daily,%,Secured Overnight Financing Rate,https://fred.stlouisfed.org/series/SOFR
USD_Broad_TW,FRED DTWEXBGS,Daily,Index,Nominal Broad USD Trade-Weighted,https://fred.stlouisfed.org/series/DTWEXBGS
USD_AFE_TW,FRED DTWEXAFEGS,Daily,Index,USD vs Advanced Foreign Economies,https://fred.stlouisfed.org/series/DTWEXAFEGS
EURUSD,FRED DEXUSEU,Daily,USD/EUR,Dollar je Euro,https://fred.stlouisfed.org/series/DEXUSEU
USDCNY,FRED DEXCHUS,Daily,CNY/USD,China Yuan je USD,https://fred.stlouisfed.org/series/DEXCHUS
USDJPY,FRED DEXJPUS,Daily,JPY/USD,Yen je USD,https://fred.stlouisfed.org/series/DEXJPUS
SP500,FRED SP500,Daily,Index,S&P 500,https://fred.stlouisfed.org/series/SP500
WTI_FRED,FRED DCOILWTICO,Daily,USD/bbl,WTI Spot Cushing,https://fred.stlouisfed.org/series/DCOILWTICO
XAU_Miners,FRED NASDAQXAU,Daily,Index,PHLX Gold/Silver Sector,https://fred.stlouisfed.org/series/NASDAQXAU
EPU_US,FRED USEPUINDXD,Daily,Index,US Economic Policy Uncertainty,https://fred.stlouisfed.org/series/USEPUINDXD
HY_OAS,FRED BAMLH0A0HYM2,Daily,%,ICE BofA US High Yield OAS,https://fred.stlouisfed.org/series/BAMLH0A0HYM2
RRP,FRED RRPONTSYD,Daily,Mrd USD,Overnight Reverse Repo,https://fred.stlouisfed.org/series/RRPONTSYD
Gold_Silver_Ratio,berechnet,Daily,x,XAUUSD / XAGUSD,
Initial_Claims,FRED ICSA,Weekly,Anzahl,Erstantraege Arbeitslosenhilfe,https://fred.stlouisfed.org/series/ICSA
Fed_BalanceSheet_mn,FRED WALCL,Weekly,Mio USD,Fed Total Assets,https://fred.stlouisfed.org/series/WALCL
CPI,FRED CPIAUCSL,Monthly,Index,CPI All Urban SA,https://fred.stlouisfed.org/series/CPIAUCSL
CoreCPI,FRED CPILFESL,Monthly,Index,Core CPI ex Food Energy,https://fred.stlouisfed.org/series/CPILFESL
PCE,FRED PCEPI,Monthly,Index,PCE Price Index,https://fred.stlouisfed.org/series/PCEPI
CorePCE,FRED PCEPILFE,Monthly,Index,Core PCE Fed-Zielmass,https://fred.stlouisfed.org/series/PCEPILFE
UNRATE,FRED UNRATE,Monthly,%,US Arbeitslosenquote,https://fred.stlouisfed.org/series/UNRATE
NFP_PAYEMS_k,FRED PAYEMS,Monthly,Tsd.,Nonfarm Payrolls Level,https://fred.stlouisfed.org/series/PAYEMS
FEDFUNDS_m,FRED FEDFUNDS,Monthly,%,Fed Funds monthly average,https://fred.stlouisfed.org/series/FEDFUNDS
M2_bn,FRED M2SL,Monthly,Mrd USD,M2 Money Stock,https://fred.stlouisfed.org/series/M2SL
